PERMNO,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,R0,R1,R2,R3,R4
10308,-8.307225433144593e-07,-6.461849127834012e-07,-3.385586726877229e-08,1.9575221255180093e-07,-2.7354877695536316e-06,-1.4222708575139203e-07,-1.246898778631564e-06,-5.437263198099012e-06,2.372740993469795e-06,2.2611841929412818e-06,-1.7274122278882434e-06,-4.4280286662793915e-06,-8.871357779042233e-06,-1.2215693422943373e-05,2.9761585184350485e-06,5.219256799138184e-14,-6.144596985865789e-12,-0.0001719021511772945,0.000534395192800664,0.004018510001797267
10318,1.6361583772961058e-06,1.5702254567422916e-06,2.662368263941602e-06,-3.66187931143519e-06,6.561754007795666e-06,-8.62569185064342e-06,-1.4123662328022255e-05,1.5532691508479377e-05,1.4404457775950037e-06,-6.987092110705308e-06,-8.36128996827927e-06,-1.6329549665068865e-05,6.713944401695973e-07,-1.5937432260514905e-05,5.858310626562233e-06,-5.496710827599611e-15,-1.1209792527970703e-11,-0.00030557631190575904,0.0011860305284864465,0.00021187828263323908
10333,-1.53669661448363e-06,2.4716615659561826e-05,-1.4938959230418737e-05,2.0295485684639338e-05,-5.017631658973192e-06,-9.984308979513314e-06,-2.781953691872909e-05,1.7590255770175817e-05,-1.5432482876670524e-05,-1.990725606748463e-05,-3.827943370439987e-05,1.3430808175838758e-06,-4.5412650066340755e-05,3.491327676989186e-05,7.371157043671007e-06,8.68130708928425e-06,-0.03589212589558895,0.001553000278516095,0.008273266453932079,-0.0023331374664552983
10382,-4.02418831423247e-06,-7.014216525092432e-07,-1.66434610524403e-06,4.778681803169018e-07,5.746023392222083e-07,1.2517897920897553e-05,-3.141044823192794e-05,4.24774630697012e-06,4.032753293282077e-06,1.1179216993130688e-05,-1.2894697868713864e-05,-3.415139098972911e-07,-1.4752522814698024e-05,-1.3507703817255486e-05,1.6483819576569545e-05,-3.679551842866003e-14,-1.0341222733905479e-11,-0.00024904989727736037,0.0009873545245561138,-5.7603534167151545e-06
10397,-3.173566879675775e-07,-2.509816040502742e-06,-5.2638754672585015e-06,5.765660781885375e-06,7.427277783014402e-06,1.027005046778226e-05,6.243408310317136e-07,-8.033749640308383e-06,2.3371680139769815e-06,9.68482059007729e-06,-8.479040059997884e-06,-2.217099564477351e-06,-4.28076357258036e-05,-2.8620759047284476e-05,-4.375793834247017e-06,-2.1613262709259597e-14,-9.49779961895249e-12,-0.0001473311037757732,0.0005480221291860435,0.00014870205460649965
10421,6.67542376860842e-06,3.033444646970619e-06,7.051319730414585e-06,1.2118276286976531e-05,7.233043511198246e-05,6.4559854593104736e-06,-3.81682189982195e-06,-1.5306686853213752e-05,1.3273151869476442e-05,6.143404144082894e-06,2.395448341879278e-05,6.259345412204072e-06,-5.086312300687866e-05,-1.297970298555327e-05,-1.3150099840090306e-05,4.2117812831965645e-14,-1.6617057648032725e-11,-0.00021303930718096243,0.0007711515049606549,0.0007510198917930936
10443,-1.554181345715147e-06,-2.1530278409421532e-06,-7.579997944116503e-06,3.685381772874799e-06,-5.86214322877224e-06,1.4256953341940306e-07,7.912501915718104e-06,1.2313146012242814e-05,2.4865323049690863e-05,-9.088587767945292e-06,2.2278930717347277e-05,2.049950878838026e-06,-1.3781407569125245e-05,-1.5843509711022166e-05,-6.869829507738831e-07,-3.0671357815296094e-14,-1.9903371972996642e-11,-0.0005209081737196711,0.0021918465353283146,6.809399949771262e-05
10501,-2.097394231354787e-06,-8.70199500108446e-06,1.0148979801712158e-07,4.919096357979063e-06,-7.828120783139655e-07,-2.629334414759045e-06,2.351042778040577e-06,7.530727562304321e-07,1.7739040503651225e-05,-1.1764033128873935e-06,7.320447594616406e-06,1.4001744637117782e-05,-1.797384609336459e-05,-2.468399359513763e-05,1.6746319598981972e-05,-4.210082379728703e-14,-1.08452926348429e-11,-0.00026659747311481716,0.0009749867438061814,-2.5779355839888664e-05
10516,-3.612472099037003e-06,-7.266205612941762e-07,-1.1328274430283484e-06,-1.948029377339871e-06,6.442399382037202e-06,-1.2600835342630814e-05,-3.2023953944001435e-06,-6.009414071989794e-06,3.995129365977305e-06,-5.466737799380598e-06,-3.300492776407932e-05,-2.135543495923374e-05,-8.755760211774036e-06,-1.664258094889189e-05,5.487200187316756e-06,1.2022616419136684e-14,-5.833429197525344e-12,-0.00013878073269553,0.0004860754048234699,0.00033679794593939345
10530,1.7964754780259455e-06,-2.471097155896267e-06,-4.537343131329715e-06,4.789578938379876e-06,3.766300358316984e-06,2.674862546755044e-06,5.182590210484757e-06,1.3550253020856808e-05,2.8300977039042e-06,3.9554027580048615e-06,2.0444899041721885e-06,-3.652289509330934e-05,-1.5494143987606585e-05,-2.6216433660008796e-06,2.171180045902229e-05,-4.720244689273544e-14,-8.749730297430124e-12,-0.00025290456270927797,0.0009288850697008815,-0.00032920324514411944
10547,-2.743555635672448e-06,-8.890974859919228e-08,-1.539739546221579e-05,3.5599880287789933e-06,-1.7722624946273366e-06,9.282190955587509e-06,-1.999153065733442e-05,-1.5825518052237708e-07,3.688596852631321e-05,2.5415796083127136e-06,-1.4437255494127222e-06,2.252803002034805e-06,-2.524015131644623e-05,-6.387413755383579e-05,2.0244677334747814e-05,-6.171482129339072e-14,-1.6285072036881222e-11,-0.0003918934304768547,0.0015612740069306426,-0.0001629231897131299
10606,-2.544133343853696e-06,-6.988162332004035e-07,-3.305010051266428e-06,1.2231756551225704e-06,3.9129755960906576e-06,1.6387770420283758e-06,-1.5107880341545829e-06,-1.3508888799544205e-06,8.470902455683018e-06,4.195705827938263e-06,-1.2545631905308635e-05,-9.0238210620599e-06,-6.538089960064578e-06,-2.3406832240237275e-06,1.103482515531311e-05,9.852495648143433e-13,2.791942914675348e-10,0.006717215546406406,-0.028658474448019815,-0.0005113070073749748
