,permno,bm,pe_exi,npm,cfm,roa,roe,GProf,totdebt_invcap,capital_ratio,debt_ebitda,lt_debt,cash_debt,fcf_ocf,de_ratio,at_turn,staff_sale,ptb
3077,14288,1.386,-0.909,-0.084,-0.146,0.036,-0.202,0.036,0.956,0.978,25.121,0.931,-0.081,-6559227240.681702,46.745,0.065,0.083,0.273
3078,91167,1.045,23.793,0.145,0.173,0.015,0.039,0.033,0.16,0.157,1.774,0.03,0.015,0.966,6.261,0.037,0.427,0.882
3079,15514,0.904,14.196,0.226,0.262,0.022,0.094,0.035,0.496,0.235,2.992,0.033,0.027,0.973,9.179,0.04,0.29,1.213
3080,91299,1.474,-39.9,0.005,0.16,0.1,0.009,0.196,0.605,0.706,5.115,0.763,0.084,-0.96,3.145,0.41,0.0,0.733
3081,88258,3.349,-0.76,-0.649,-0.584,-0.127,-0.843,0.646,0.508,0.32,-1.464,0.282,-0.166,0.822,1.668,0.828,0.0,0.257
3082,13377,0.031,-28.893,-0.36,-0.233,-0.094,-1.367,0.34,0.787,0.786,-5.598,0.527,0.058,0.571,6.966,0.454,0.0,34.803
3083,13956,0.078,-14.833,-0.207,-0.033,0.038,-0.557,0.266,0.8,0.784,15.26,0.626,0.051,-0.46,5.811,0.502,0.0,14.934
3084,13921,0.698,14.793,0.205,0.22,0.018,0.12,0.027,0.912,0.719,12.37,0.185,-0.085,-6559227240.681702,13.866,0.036,0.215,1.517
3085,13534,1.04,46.023,0.083,0.152,0.017,0.022,0.035,0.726,0.253,8.462,0.055,0.001,0.874,6.162,0.037,0.422,1.022
3086,14094,0.289,-48.529,-1.184,-1.104,-0.417,-0.603,0.131,0.199,0.189,-0.37,0.518,-0.983,-6559227240.681702,0.449,0.4,0.0,2.019
3087,13342,0.297,-55.727,-0.055,-0.028,-0.018,-0.073,0.588,0.0,0.0,0.0,0.0,0.261,0.788,0.679,0.745,0.0,3.802
3088,13798,0.382,-12.761,-15.686034353749585,-15.471987031916925,-0.306,-0.317,0.0,0.0,0.0,0.0,0.0,-3.241,-6559227240.681702,0.061,0.8067880899309279,0.18635358057792428,3.996
3089,14707,0.165,-26.526,-15.686034353749585,-15.471987031916925,-0.503,-0.716,0.0,0.072,0.065,-0.223,0.462,-1.075,-6559227240.681702,0.151,0.8067880899309279,0.18635358057792428,5.415
3090,13188,0.885,-26.481,-0.025,0.034,0.075,-0.039,0.145,0.605,0.561,7.166,0.722,0.072,0.761,1.766,0.548,0.0,1.179
3091,13379,0.116,-28.688,-0.43,-0.402,-0.2,-0.314,0.395,0.0,0.0,0.0,0.0,0.239,0.791,0.567,0.46,0.0,9.071
3092,13407,0.163,104.66,0.177,0.293,0.177,0.084,0.349,0.004,0.003,0.026,0.025,1.335,0.681,0.119,0.369,0.0,5.799
3093,13349,0.739,-0.011,-2.021,-1.619,-0.339,-3.224,-0.359,1.058,1.058,-2.444,0.887,0.178,-0.418,-20.622,0.292,0.0,0.282
3094,14033,0.308,-118.57,-33.566,-32.994,-0.54,-0.586,-0.491,0.0,0.0,-0.0,0.0,-4.09,-6559227240.681702,0.075,0.015,0.0,3.022
3095,13641,0.478,-16.12,-0.57,-0.075,-0.096,-0.135,-0.085,0.224,0.244,-2.141,0.671,0.321,-1.202,0.483,0.15,0.0,2.173
3096,13356,0.698,9.545,0.048,0.06,0.115,0.173,0.15,0.281,0.28,1.564,0.329,0.132,0.133,1.183,1.99,0.0,1.526
3097,13367,0.434,18.275,0.113,0.153,0.211,0.128,0.59,0.0,0.0,0.0,0.0,0.445,0.613,0.305,0.939,0.0,2.174
3098,13621,0.1,-11.011,-15.686034353749585,-15.471987031916925,-0.929,-1.075,0.0,0.0,0.0,0.0,0.0,-1.689,-6559227240.681702,0.136,0.8067880899309279,0.18635358057792428,10.386
3099,13559,0.84,-13.769,-0.04,0.045,0.073,-0.063,0.074,0.571,0.51,5.513,0.561,0.162,0.568,1.853,0.618,0.479,0.881
3100,13456,0.093,-8.99,-2569.9,-2563.8,-0.598,-1.174,0.0,0.389,0.389,-0.593,0.785,-0.84,-6559227240.681702,0.813,0.0,0.18635358057792428,14.055
3101,14717,0.9592069949524183,-0.592,-0.689,-0.487,0.105,-0.623,0.259,2.678,1.444,5.021,0.265,0.089,-0.341,-12.282,0.341,0.0,3.857438108783013
3102,13543,0.347,26.0,0.194,0.238,0.256,0.17,0.565,0.0,0.0,0.0,0.0,0.67,0.427,0.197,0.705,0.0,2.91
3103,13447,0.047,-64.597,-0.224,-0.06,-0.079,-0.466,0.433,0.494,0.494,-3.962,0.425,0.139,0.723,2.297,0.597,0.0,26.624
3104,13761,0.613,-3.005,-59.642,-59.374,-0.384,-0.406,-0.346,0.0,0.0,0.0,0.0,-5.06,-6559227240.681702,0.064,0.006,0.0,1.182
3105,13548,0.27,16.24,0.03,0.08,0.135,0.189,0.235,0.729,0.727,3.072,0.491,0.127,0.476,5.437,1.389,0.274,3.426
3106,13337,1.382,256.907,0.069,0.118,0.083,0.059,0.211,0.235,0.235,2.325,0.545,0.327,0.798,0.564,0.595,0.0,0.739
3107,13511,0.039,-27.826,-0.169,-0.115,-0.063,-0.358,0.419,0.782,0.192,-4.413,0.086,0.237,0.888,2.755,0.55,0.0,27.826
3108,15357,0.433,-46.397,-0.114,0.015,0.111,-0.072,0.192,0.429,0.416,3.036,0.597,0.089,0.646,1.195,0.339,0.0,2.467
3109,13527,0.106,35.667,0.064,0.091,0.323,0.285,0.798,0.0,0.0,0.0,0.0,0.509,0.177,0.784,2.306,0.0,8.777
3110,13369,0.187,-7.239,-15.686034353749585,-15.471987031916925,-0.622,-0.717,0.0,0.0,0.0,0.0,0.0,-3.335,-6559227240.681702,0.11,0.8067880899309279,0.18635358057792428,4.198
3111,14468,0.458,-3725.5,-206.48,-204.83,-0.933,-2.014,-0.951,0.0,0.0,0.0,0.0,-5.816,-6559227240.681702,0.169,0.004,0.0,2.263
3112,13622,0.519,27.78,0.035,0.074,0.099,0.076,0.171,0.716,0.618,5.596,0.666,0.079,0.85,2.429,0.734,0.0,1.876
3113,91363,0.215,25.311,0.059,0.097,0.192,0.216,0.388,0.691,0.684,3.127,0.79,0.094,0.314,2.741,1.154,0.0,4.224
3114,91463,0.264,-437.22,-0.007,0.012,0.02,-0.01,0.715,0.0,0.0,0.0,0.0,0.404,0.63,0.734,0.83,0.0,4.419
3115,91285,3.298,-1344.3,-0.909,-1.212,-0.109,-0.177,-0.11,0.23,0.0,-1.038,0.0,-0.145,-6559227240.681702,1.239,0.081,0.373,0.234
3116,91357,0.959,15.529,0.018,0.027,0.096,0.054,0.408,0.296,0.296,2.607,0.669,0.144,0.888,0.628,1.869,0.0,0.856
3117,13967,0.297,-7.364,-4.0,-3.928,-0.527,-0.575,-0.456,0.079,0.079,-0.157,0.437,-1.648,-6559227240.681702,0.196,0.113,0.0,4.083
3118,91491,0.456,-27.667,-1.262,-1.243,-0.253,-0.226,-0.44,0.002,0.001,-0.01,0.013,-4.163,0.942,0.093,0.117,0.18635358057792428,3.431
3119,91277,0.421,20.388,0.073,0.145,0.14,0.114,0.197,0.573,0.578,3.155,0.691,0.138,0.813,1.979,0.692,0.0,2.481
3120,91283,1.474,-0.488,-1.886,-1.229,-0.329,-1.053,-0.337,0.769,0.792,-1.918,0.856,0.147,-1.128,4.449,0.127,0.0,0.322
3121,12914,0.204,25.657,0.208,0.272,0.123,0.185,0.193,0.994,0.987,5.851,0.705,0.071,0.826,107.186,0.242,0.0,4.344
3122,93035,0.712,12.278,0.037,0.067,0.111,0.145,0.14,0.685,0.715,5.526,0.735,0.08,0.419,3.418,0.954,0.0,1.55
3123,91522,1.299,12.6,0.018,0.046,0.17,0.098,0.302,0.506,0.251,1.809,0.257,0.0,-405.17,1.307,2.622,0.0,0.809
3124,91472,0.823,3.95,-0.146,-0.109,0.018,-0.318,0.038,0.557,0.493,1.935,0.033,0.001,0.833,29.151,0.044,0.359,0.926
3125,91579,0.481,-2.268,-0.199,-0.185,-0.015,-0.759,0.03,0.07,0.06,-1.065,0.02,0.052,0.688,3.162,1.397,0.0,2.11
3126,91514,0.563,19.099,0.221,0.245,0.026,0.09,0.039,1.411,0.131,8.444,0.02,0.014,0.946,7.357,0.045,0.323,1.504
3127,91498,0.374,-14.676,-0.065,-0.021,0.033,-0.147,0.033,0.46958902333008073,0.31711893395296437,9543569931394.81,0.2928816810750603,0.054,0.617,0.354,1.731,0.0,2.051
3128,91503,0.35,43.125,0.093,0.138,0.176,0.1,0.649,0.0,0.0,0.0,0.0,0.415,0.808,0.179,0.925,0.0,4.098
3129,12452,0.79,27.455,0.034,0.144,0.185,0.049,0.595,0.439,0.357,2.055,0.641,0.215,0.006,0.866,0.771,0.0,1.388
3130,91446,0.941,-48.818,-0.046,0.021,0.011,-0.023,0.011,0.569,0.444,8.387,0.082,0.019,0.839,9.711,0.046,0.299,1.141
3131,91391,0.802,-16.598,-0.033,0.207,0.148,-0.106,0.217,1.005,0.976,5.141,0.752,0.117,0.12,54.474,0.449,0.0,1.253
3132,91432,0.933,8.929,0.045,0.062,0.069,0.153,0.37,0.278,0.278,2.583,0.329,-0.037,-6559227240.681702,1.171,1.573,0.0,1.293
3133,91614,0.479,14.347,0.052,0.1,0.169,0.091,0.271,0.352,0.345,1.742,0.629,0.478,0.69,0.839,1.091,0.0,1.531
3134,91468,0.926,18.815,0.033,0.062,0.103,0.071,0.395,0.41,0.41,3.32,0.589,0.13,0.858,1.181,1.014,0.0,1.251
3135,92506,1.89,9.323,0.024,0.031,0.039,0.073,0.039,0.082,0.068,0.88,0.046,0.03,0.956,1.589,1.231,0.0,0.644
3136,91434,0.125,-14.027,-0.388,-0.089,-0.241,-0.303,0.299,0.001,0.001,-0.005,0.005,-0.247,0.532,0.191,0.662,0.0,4.479
3137,91392,0.272,15.862,0.101,0.143,0.135,0.229,0.294,0.86,0.816,3.907,0.563,0.117,0.731,7.893,0.555,0.0,3.724
3138,91413,0.262,45.822,0.043,0.083,0.157,0.098,0.154,0.272,0.204,1.081,0.198,0.296,0.94,1.293,0.861,0.59,4.456
3139,85208,0.276,33.203,0.16,0.222,0.174,0.133,0.377,0.057,0.041,0.248,0.102,0.426,0.779,0.42,0.625,0.0,4.261
3140,91618,0.809,-25.857,-0.117,0.032,0.063,-0.064,0.147,0.333,0.334,5.104,0.706,0.016,-3.205,0.709,0.315,0.0,1.607
3141,91659,0.104,17.091,0.137,0.22,0.341,0.467,0.407,0.71,0.639,1.415,0.57,0.285,0.225,3.108,0.954,0.17,7.427
3142,92040,0.336,-8.899,-56.312,-55.048,-0.441,-0.696,-0.101,0.078,0.069,-0.192,0.081,-0.589,-6559227240.681702,0.92,0.007,0.0,2.07
3143,13385,0.693,-1184.3,-15.686034353749585,-15.471987031916925,-0.412,-0.373,0.0,0.0,0.0,0.0,0.0,-5.266,-6559227240.681702,0.133,0.8067880899309279,0.18635358057792428,1.221
3144,91355,0.764,48.5,0.006,0.023,0.1,0.027,0.61,0.533,0.527,3.086,0.419,0.021,-0.631,2.658,1.546,0.0,1.549
3145,13167,0.9592069949524183,-4.846,-15.686034353749585,-15.471987031916925,-0.657,-6.218,0.0,1.123,1.123,-1.791,0.903,-0.408,-6559227240.681702,-10.085,0.8067880899309279,0.18635358057792428,3.857438108783013
3146,93189,0.154,-10.082883013420306,0.299,0.418,0.314,0.343,0.405,0.11,0.033,0.286,0.086,0.545,0.709,0.398,0.596,0.0,10.286
3147,91405,1.17,31.255,0.091,0.12,0.017,0.021,0.036,0.256,0.204,3.661,0.061,0.011,0.763,4.18,0.044,0.396,0.817
3148,91397,1.059,37.696,0.084,0.11,0.016,0.026,0.034,0.495,0.469,7.827,0.135,0.008,0.912,6.544,0.041,0.379,1.021
3149,92093,1.543,-71.071,-0.013,0.007,0.027,-0.008,0.028,0.875,0.0,6.353,0.0,-0.027,-6559227240.681702,3.996,0.136,0.511,0.659
3150,91461,0.179,11.056,0.154,0.203,0.143,0.532,0.257,0.805,0.709,2.545,0.371,0.122,0.923,6.563,0.55,0.0,5.447
3151,92226,0.133,24.014,0.24,0.244,0.347,0.364,0.725,0.206,0.134,0.46,0.275,0.521,0.957,0.56,0.867,0.0,6.668
3152,91416,0.11,30.031,0.068,0.087,0.173,0.28,0.417,0.707,0.598,2.532,0.485,0.132,0.555,3.064,1.047,0.0,9.223
3153,91486,0.44,-43.262,-0.033,0.093,0.085,-0.045,0.471,0.365,0.354,3.608,0.664,0.29,0.462,0.824,0.845,0.0,2.781
3154,91611,1.249,11.68,0.158,0.228,0.126,0.116,0.184,0.053,0.044,0.336,0.139,0.401,0.586,0.334,0.535,0.0,1.246
3155,91742,0.508,-42.073,-1.239,-0.977,-0.688,-1.285,0.376,0.003,0.0,-0.003,0.0,-2.236,-6559227240.681702,0.309,0.842,0.0,1.856
3156,91615,0.477,-905.88,-9.56,-9.379,-1.031,-1.366,-1.111,0.0,0.0,0.0,0.0,-5.655,-6559227240.681702,0.219,0.112,0.0,2.368
3157,12049,0.685,10.375,0.087,0.164,0.23,0.096,0.389,0.019,0.004,0.068,0.016,1.744,-0.13,0.221,0.884,0.0,0.958
3158,92054,0.234,-1780.8,-0.763,-0.69,-0.074,-0.598,0.115,0.556,0.542,-6.822,0.821,-0.332,-6559227240.681702,1.44,0.413,0.0,1.517
3159,91612,0.161,8.471,2.128,3.097,-0.004,1.263,0.025,0.842,0.825,-110.88,0.547,0.003,-6.864,8.606,0.071,0.0,4.946
3160,88434,0.321,-2.962,-1.241,-1.206,-0.393,-0.781,-0.413,0.068,0.067,-0.081,0.06,0.737,0.988,1.196,0.345,0.0,2.897
3161,91622,0.873,18.139,0.192,0.22,0.022,0.077,0.037,0.437,0.146,2.925,0.023,0.014,0.966,7.289,0.048,0.254,1.328
3162,91501,0.875,23.057,0.232,0.247,0.018,0.056,0.034,0.653,0.377,9.124,0.115,0.015,0.975,5.288,0.039,0.339,1.357
3163,91625,0.46,11.324,0.044,0.055,0.17,0.185,0.741,0.189,0.047,0.622,0.046,0.521,0.83,1.069,1.895,0.459,1.805
3164,90077,2.208,116.0,0.027,0.05,0.02,0.028,0.018,2.669,0.374,34.695,0.095,0.017,0.955,6.265,0.155,0.535,0.307
3165,92773,0.532,34.422,0.017,0.051,0.117,0.071,0.244,0.371,0.305,1.908,0.311,0.055,-2.519,1.408,1.734,0.0,2.31
